ID,duree
1317,103.0
2314,62.0
3239,79.0
4389,113.0
5134,115.0
5598,120.0
5818,194.0
5847,70.0
6318,95.0
6328,87.0
6450,108.0
6615,65.0
7118,94.0
8037,91.0
8615,111.0
8727,90.0
9906,118.0
10675,96.0
10862,89.0
11276,109.0
11295,110.0
11681,80.0
11746,98.0
12128,98.0
12791,110.0
12958,100.0
13182,80.0
13602,119.0
15112,98.0
15681,109.0
16591,86.0
17344,95.0
17393,88.0
17952,105.0
17965,33.0
18477,160.0
18478,119.0
18524,136.0
18598,163.0
18671,103.0
18832,117.0
19170,120.0
19174,90.0
19184,98.0
19280,124.0
19403,140.0
19430,92.0
19439,98.0
19483,83.0
19881,117.0
20151,135.0
20153,125.0
20287,124.0
20290,104.0
20350,120.0
20381,95.0
20391,132.0
20395,81.0
20445,107.0
20490,115.0
20498,105.0
20502,159.0
20537,93.0
20544,135.0
20754,133.0
21382,84.0
22015,93.0
22092,107.0
22114,98.0
22758,112.0
23147,82.0
23245,79.0
23283,93.0
23354,91.0
24252,98.0
25453,96.0
25751,90.0
25756,95.0
25857,96.0
26157,130.0
26287,112.0
26389,98.0
26404,133.0
26533,90.0
26561,96.0
26706,95.0
26730,94.0
26781,113.0
26823,134.0
26825,112.0
26832,105.0
26833,126.0
26835,112.0
26839,109.0
26840,109.0
26849,112.0
26851,94.0
26854,99.0
26855,135.0
26857,117.0
26858,93.0
26861,109.0
26862,92.0
26863,126.0
26866,98.0
26871,101.0
26880,96.0
26882,94.0
26884,136.0
26885,106.0
26889,117.0
27022,82.0
27042,95.0
27044,105.0
27046,116.0
27049,103.0
27050,100.0
27052,121.0
27061,182.0
27062,104.0
27063,120.0
27067,145.0
27070,178.0
27244,114.0
27405,126.0
27415,89.0
27416,93.0
27417,183.0
27429,100.0
27430,129.0
27431,99.0
27432,104.0
27433,101.0
27434,129.0
27435,97.0
27437,125.0
27438,92.0
27440,123.0
27441,120.0
27443,147.0
27444,126.0
27445,114.0
27446,90.0
27448,125.0
27549,98.0
27550,85.0
27551,98.0
27552,127.0
27553,98.0
27555,90.0
27763,100.0
27764,150.0
27765,121.0
27770,143.0
27774,98.0
27775,95.0
27777,107.0
27791,84.0
27792,106.0
27793,84.0
27920,96.0
27936,90.0
27993,142.0
28104,105.0
28109,95.0
28111,220.0
28113,135.0
28115,107.0
28175,109.0
28235,123.0
28244,95.0
28254,133.0
28293,89.0
28355,90.0
28356,158.0
28359,148.0
28363,98.0
28367,129.0
28368,105.0
28369,97.0
28374,96.0
28377,125.0
28384,134.0
28388,98.0
28389,101.0
28401,98.0
28417,98.0
28418,105.0
28420,125.0
28423,105.0
28427,83.0
28430,100.0
28439,98.0
28446,100.0
28447,97.0
28469,112.0
28470,150.0
28472,100.0
28474,90.0
28478,90.0
28493,80.0
28494,116.0
28501,102.0
28504,108.0
28510,99.0
28512,121.0
28515,133.0
28519,102.0
28522,138.0
28524,124.0
28531,98.0
28537,112.0
28538,98.0
28540,138.0
28541,112.0
28546,128.0
28548,100.0
28555,95.0
28560,116.0
28561,98.0
28569,121.0
28572,145.0
28578,99.0
28596,122.0
28602,126.0
28603,98.0
28605,110.0
28615,113.0
28622,98.0
28627,129.0
28628,106.0
28629,112.0
28644,125.0
28654,117.0
28655,104.0
28657,115.0
28658,130.0
28673,103.0
28677,90.0
28682,146.0
28685,119.0
28687,118.0
28691,105.0
28695,95.0
28712,98.0
28714,104.0
28728,98.0
28729,120.0
28731,93.0
28756,95.0
28759,100.0
28760,113.0
28768,105.0
28771,81.0
28772,100.0
28773,105.0
28775,102.0
28778,85.0
28784,93.0
28787,144.0
28789,102.0
28795,90.0
28798,113.0
28802,111.0
28811,100.0
28817,112.0
28821,90.0
28824,113.0
28829,102.0
28830,96.0
28834,58.0
28835,123.0
28837,92.0
28842,98.0
28843,161.0
28846,101.0
28852,85.0
28869,102.0
28874,125.0
28875,105.0
28882,98.0
28884,90.0
28887,119.0
28892,91.0
28904,132.0
28906,90.0
28914,83.0
28915,113.0
28918,100.0
28919,98.0
28920,87.0
28921,125.0
28927,177.0
28930,98.0
28931,100.0
28933,110.0
28936,90.0
28937,102.0
28938,90.0
28941,87.0
28948,87.0
28953,90.0
28954,104.0
28958,114.0
28963,115.0
28967,89.0
28968,170.0
28977,90.0
28981,115.0
28983,117.0
28999,115.0
29002,110.0
29004,98.0
29005,102.0
29006,96.0
29007,121.0
29008,97.0
29014,142.0
29023,125.0
29024,78.0
29025,118.0
29027,87.0
29039,115.0
29044,115.0
29057,101.0
29062,129.0
29063,109.0
29064,165.0
29065,98.0
29068,99.0
29069,92.0
29071,118.0
29072,129.0
29078,108.0
29082,120.0
29085,91.0
29087,110.0
29104,107.0
29113,94.0
29117,116.0
29126,137.0
29131,98.0
29137,97.0
29138,95.0
29139,87.0
29140,92.0
29144,99.0
29146,84.0
29150,130.0
29156,89.0
29157,114.0
29162,95.0
29166,124.0
29167,124.0
29168,115.0
29173,107.0
29175,115.0
29179,94.0
29188,108.0
29189,110.0
29194,120.0
29196,119.0
29197,130.0
29202,113.0
29207,95.0
29208,111.0
29217,98.0
29222,94.0
29225,105.0
29232,121.0
29233,126.0
29240,125.0
29242,113.0
29251,89.0
29252,101.0
29253,92.0
29260,135.0
29264,119.0
29270,85.0
29274,134.0
29275,127.0
29276,152.0
29277,132.0
29279,105.0
29280,98.0
29284,120.0
29290,108.0
29291,92.0
29294,87.0
29295,83.0
29296,123.0
29298,132.0
29302,91.0
29304,106.0
29306,100.0
29307,91.0
29310,95.0
29314,101.0
29322,103.0
29342,84.0
29345,90.0
29347,90.0
29358,115.0
29362,78.0
29366,98.0
29368,95.0
29370,88.0
29371,130.0
29378,93.0
29387,85.0
29718,120.0
29806,97.0
29808,110.0
29943,162.0
29965,127.0
30095,90.0
30318,108.0
31057,120.0
31733,183.0
31992,120.0
32239,114.0
32253,98.0
32282,95.0
32333,110.0
32458,101.0
32488,87.0
32517,90.0
32547,95.0
32630,93.0
32636,100.0
32678,110.0
32701,111.0
32704,116.0
32785,106.0
32941,95.0
33339,103.0
33436,116.0
33464,98.0
33465,105.0
33468,120.0
33586,93.0
33878,82.0
33888,97.0
33900,103.0
33904,152.0
33905,95.0
33907,104.0
33926,108.0
33963,110.0
33997,91.0
34001,115.0
34132,98.0
34176,103.0
34191,120.0
34194,95.0
34197,115.0
34207,88.0
34437,135.0
34471,106.0
34498,85.0
34499,98.0
34503,95.0
34509,140.0
34512,103.0
34517,95.0
34535,90.0
34557,135.0
34584,110.0
34680,137.0
34833,81.0
34877,98.0
34906,85.0
34916,105.0
34917,145.0
34925,100.0
34927,95.0
34960,95.0
34961,124.0
35097,102.0
35106,101.0
35109,110.0
35120,90.0
35122,94.0
35139,139.0
35142,95.0
35143,85.0
35144,143.0
35146,98.0
35156,88.0
35157,82.0
35158,100.0
35366,90.0
35370,113.0
35375,101.0
35379,90.0
35384,96.0
35535,153.0
35537,107.0
35725,88.0
35784,81.0
35891,97.0
35946,110.0
35962,104.0
35966,116.0
35968,85.0
35973,141.0
35990,90.0
35996,107.0
36114,105.0
36127,61.0
36283,103.0
36284,95.0
36285,116.0
36287,105.0
36313,103.0
36318,100.0
36416,110.0
36725,111.0
36806,96.0
36807,114.0
36817,100.0
37256,89.0
37485,125.0
37643,115.0
37967,94.0
38254,90.0
38825,92.0
38826,75.0
38890,83.0
38983,109.0
39128,100.0
39132,100.0
39160,124.0
39178,124.0
39186,179.0
39187,201.0
39500,108.0
39775,91.0
39801,106.0
39811,95.0
40020,89.0
40132,117.0
40133,124.0
40137,102.0
40139,89.0
40141,119.0
40191,108.0
40222,76.0
40619,90.0
40623,140.0
40627,99.0
40629,102.0
40772,115.0
40869,110.0
40879,91.0
40882,128.0
40884,134.0
41005,129.0
41010,105.0
41011,110.0
41110,101.0
41134,119.0
41230,90.0
41232,95.0
41236,114.0
41239,117.0
41241,88.0
41244,113.0
41245,158.0
41300,136.0
41309,102.0
41311,111.0
41312,90.0
41325,85.0
41332,101.0
41413,73.0
41415,90.0
41419,90.0
41504,98.0
41514,154.0
41515,103.0
41695,95.0
41696,102.0
41715,80.0
41769,97.0
42093,120.0
42130,102.0
42137,107.0
42151,83.0
42152,136.0
42303,93.0
42310,98.0
42346,105.0
42388,110.0
42391,98.0
42552,110.0
42726,102.0
42729,98.0
42731,134.0
42733,121.0
42753,98.0
42946,110.0
42951,118.0
42965,87.0
43023,90.0
43118,89.0
43151,85.0
43170,112.0
43188,95.0
43219,98.0
43226,102.0
43242,100.0
43265,86.0
43316,72.0
43407,88.0
43500,167.0
43553,111.0
43921,115.0
43925,110.0
43930,127.0
43943,94.0
43958,114.0
43960,94.0
43986,113.0
44160,84.0
44202,128.0
44205,106.0
44206,80.0
44237,88.0
44282,91.0
44296,94.0
44422,96.0
44431,97.0
44435,99.0
44445,130.0
44449,113.0
44473,95.0
44476,85.0
44649,110.0
44653,95.0
44654,95.0
44657,92.0
44692,98.0
44792,90.0
44863,106.0
44884,97.0
44889,100.0
44903,90.0
44935,94.0
44957,139.0
45033,93.0
45043,93.0
45049,111.0
45068,117.0
45085,118.0
45087,99.0
45135,86.0
45143,86.0
45157,99.0
45257,117.0
45261,92.0
45272,97.0
45273,116.0
45279,122.0
45319,105.0
45322,121.0
45361,120.0
45458,98.0
45460,104.0
45488,98.0
45560,101.0
45569,95.0
45634,87.0
45644,105.0
45645,114.0
45649,122.0
45664,97.0
45667,104.0
45685,117.0
45688,118.0
45854,101.0
45889,90.0
45890,123.0
45915,95.0
46022,102.0
46112,127.0
46113,96.0
46117,143.0
46211,110.0
46277,71.0
46288,98.0
46317,108.0
46340,98.0
46370,131.0
46397,107.0
46401,110.0
46416,91.0
46422,85.0
46524,98.0
46530,92.0
46533,91.0
46542,120.0
46547,90.0
46551,93.0
46566,101.0
46688,101.0
46713,90.0
46718,180.0
46729,108.0
46864,106.0
46865,141.0
46891,86.0
46940,112.0
46941,98.0
46943,144.0
47002,98.0
47016,108.0
47019,85.0
47066,95.0
47101,99.0
47111,147.0
47133,102.0
47139,94.0
47141,146.0
47165,115.0
47179,98.0
47180,85.0
47219,98.0
47220,140.0
47262,140.0
47263,120.0
47281,84.0
47319,96.0
47326,127.0
47333,97.0
47356,154.0
47357,155.0
47362,98.0
47395,102.0
47400,100.0
47405,85.0
47423,94.0
47491,107.0
47499,100.0
47522,80.0
47594,119.0
47702,92.0
47703,100.0
47705,118.0
47707,120.0
47739,115.0
47748,98.0
47751,98.0
47754,105.0
47795,124.0
47797,105.0
47827,109.0
47835,105.0
47870,96.0
47872,100.0
47911,75.0
47977,137.0
47990,105.0
48007,102.0
48063,78.0
48082,121.0
48084,100.0
48085,104.0
48100,75.0
48102,85.0
48104,75.0
48132,102.0
48208,104.0
48222,85.0
48229,109.0
48230,117.0
48251,109.0
48266,95.0
48272,90.0
48273,85.0
48285,110.0
48349,134.0
48353,90.0
48371,165.0
48372,111.0
48378,99.0
48382,85.0
48388,90.0
48391,104.0
48397,109.0
48399,122.0
48412,98.0
48415,104.0
48422,107.0
48424,80.0
48636,128.0
48640,96.0
48692,118.0
48749,100.0
48852,100.0
48856,93.0
48862,118.0
48875,115.0
48883,122.0
49001,100.0
49006,86.0
49077,99.0
49078,100.0
49090,105.0
49095,86.0
49124,81.0
49128,90.0
49145,100.0
49148,143.0
49271,104.0
49272,98.0
49300,106.0
49319,125.0
49341,94.0
49350,113.0
49413,135.0
49521,95.0
49751,167.0
49757,107.0
49758,108.0
49761,102.0
49774,130.0
49775,109.0
49880,90.0
49935,102.0
50127,101.0
50136,84.0
50145,98.0
50148,98.0
50154,106.0
50325,97.0
50327,115.0
50332,114.0
50356,126.0
50369,97.0
50411,100.0
50417,98.0
50575,129.0
50581,125.0
50582,97.0
50684,101.0
50687,90.0
50709,100.0
50737,66.0
50756,90.0
50833,105.0
50840,88.0
50843,94.0
50858,107.0
50891,102.0
51013,140.0
51101,107.0
51115,170.0
51230,107.0
51309,110.0
51310,90.0
51366,85.0
51386,100.0
51397,100.0
51407,105.0
51408,105.0
51450,104.0
51485,108.0
51499,119.0
51500,120.0
51503,80.0
51506,85.0
51539,120.0
51594,105.0
51602,90.0
51603,130.0
51612,80.0
51618,106.0
51621,98.0
51623,99.0
51728,91.0
51739,100.0
51768,137.0
51788,52.0
51796,67.0
51895,106.0
51935,90.0
51956,93.0
52024,140.0
52045,138.0
52139,140.0
52143,74.0
52289,98.0
52296,102.0
52305,110.0
52306,110.0
52315,100.0
52316,102.0
52406,95.0
52407,95.0
52410,124.0
52416,108.0
52419,92.0
52423,95.0
52426,106.0
52495,100.0
52500,98.0
52501,125.0
52502,120.0
52545,95.0
52584,99.0
52588,81.0
52613,110.0
52644,92.0
52648,92.0
52688,115.0
52700,130.0
52702,117.0
52715,118.0
52719,105.0
52722,96.0
52723,100.0
52786,116.0
52852,95.0
52860,135.0
52865,90.0
52878,88.0
52908,92.0
52912,108.0
52933,115.0
52958,115.0
53023,130.0
53031,119.0
53042,120.0
53096,123.0
53097,125.0
53104,90.0
53109,118.0
53193,101.0
53218,91.0
53219,86.0
53240,87.0
53298,98.0
53314,122.0
53335,109.0
53355,74.0
53382,110.0
53393,82.0
53447,111.0
53482,97.0
53496,124.0
53507,105.0
53527,104.0
